customer_id,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn,split,has_international_plan,has_voice_mail_plan,total_minutes,total_calls,total_charges,avg_charge_per_minute,support_call_rate,high_service_calls,usage_intensity,customer_value_segment,rule_based_churn_risk_score,rule_based_churn_risk_level
CUST_000001,KS,128,415,No,Yes,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10.0,3,2.7,1,0,train,0,1,717.2,303,75.56,0.10535415504740658,0.0078125,0,high_usage,high_value,15,low
CUST_000002,OH,107,415,No,Yes,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,0,train,0,1,625.2,332,59.24000000000001,0.09475367882277672,0.009345794392523364,0,medium_usage,medium_value,0,low
CUST_000003,NJ,137,415,No,No,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,0,train,0,0,539.4000000000001,333,62.290000000000006,0.11548016314423433,0.0,0,low_usage,medium_value,10,low
CUST_000004,OH,84,408,Yes,No,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,0,train,1,0,564.8,255,66.8,0.11827195467422097,0.023809523809523808,0,medium_usage,high_value,45,medium
CUST_000005,OK,75,415,Yes,No,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,0,train,1,0,512.0,359,52.089999999999996,0.10173828124999999,0.04,0,low_usage,low_value,30,low
CUST_000006,AL,118,510,Yes,No,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,0,train,1,0,654.1999999999999,323,67.61,0.10334760012228678,0.0,0,high_usage,high_value,45,medium
CUST_000007,MA,121,510,No,Yes,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,0,train,0,1,786.8000000000001,321,78.31,0.09952974072191154,0.024793388429752067,0,high_usage,high_value,15,low
CUST_000008,MO,147,415,Yes,No,0,157.0,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,0,train,1,0,479.00000000000006,275,46.900000000000006,0.09791231732776617,0.0,0,low_usage,low_value,30,low
CUST_000009,WV,141,415,Yes,Yes,37,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,11.2,5,3.02,0,0,train,1,1,818.2,297,80.53999999999999,0.0984355903202151,0.0,0,high_usage,high_value,35,medium
CUST_000010,RI,74,415,No,No,0,187.7,127,31.91,163.4,148,13.89,196.0,94,8.82,9.1,5,2.46,0,0,train,0,0,556.2,374,57.08,0.1026249550521395,0.0,0,medium_usage,medium_value,10,low
CUST_000011,IA,168,408,No,No,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,0,train,0,0,386.0,297,40.190000000000005,0.10411917098445597,0.005952380952380952,0,low_usage,low_value,10,low
CUST_000012,MT,95,510,No,No,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,0,train,0,0,608.8,283,59.64,0.09796320630749016,0.031578947368421054,0,medium_usage,medium_value,10,low
CUST_000013,IA,62,415,No,No,0,120.7,70,20.52,307.2,76,26.11,203.0,99,9.14,13.1,6,3.54,4,0,train,0,0,644.0,251,59.309999999999995,0.09209627329192546,0.06451612903225806,1,high_usage,medium_value,45,medium
CUST_000014,ID,85,408,No,Yes,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,0,train,0,1,580.3999999999999,308,65.02,0.11202618883528603,0.011764705882352941,0,medium_usage,high_value,0,low
CUST_000015,VT,93,510,No,No,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,0,train,0,0,546.6,349,58.989999999999995,0.10792169776802048,0.03225806451612903,0,low_usage,medium_value,10,low
CUST_000016,VA,76,510,No,Yes,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10.0,5,2.7,1,0,train,0,1,578.2,244,60.50000000000001,0.10463507436873054,0.013157894736842105,0,medium_usage,medium_value,0,low
