customer_id,feedback_text,feedback_category,sentiment,complaint_intensity
CUST_000001,"I use the service a lot, but the monthly cost is becoming high.",pricing,neutral,3
CUST_000002,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000003,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000004,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000005,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000006,"I use the service a lot, but the monthly cost is becoming high.",pricing,neutral,3
CUST_000007,"I use the service a lot, but the monthly cost is becoming high.",pricing,neutral,3
CUST_000008,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000009,"The international plan is useful, but it feels too expensive for my usage.",pricing,negative,4
CUST_000010,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000011,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000012,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000013,"I contacted customer support several times, but my issue was not solved.",customer_support,negative,5
CUST_000014,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000015,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000016,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000017,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000018,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000019,I am considering switching to another provider because I am not satisfied.,churn_intent,negative,5
CUST_000020,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000021,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000022,"I use the service a lot, but the monthly cost is becoming high.",pricing,neutral,3
CUST_000023,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000024,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000025,"I use the service a lot, but the monthly cost is becoming high.",pricing,neutral,3
CUST_000026,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000027,"I use the service a lot, but the monthly cost is becoming high.",pricing,neutral,3
CUST_000028,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000029,"I use the service a lot, but the monthly cost is becoming high.",pricing,neutral,3
CUST_000030,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000031,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000032,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000033,"The international plan is useful, but it feels too expensive for my usage.",pricing,negative,4
CUST_000034,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000035,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000036,I am considering switching to another provider because I am not satisfied.,churn_intent,negative,5
CUST_000037,"I use the service a lot, but the monthly cost is becoming high.",pricing,neutral,3
CUST_000038,The service works well and I have no major complaints.,service_quality,positive,1
